unit,time,prob,ymin,ymax
I,84.0,25,13998.0,14940.0
I,84.0,12,14242.0,14688.0
I,84.0,0,14464.0,14464.0
I,85.0,95,11532.0,17219.0
I,85.0,87,12101.0,16492.0
I,85.0,75,12580.0,15914.0
I,85.0,62,12947.0,15491.0
I,85.0,50,13226.0,15180.0
I,85.0,37,13494.0,14889.0
I,85.0,25,13723.0,14646.0
I,85.0,12,13962.0,14400.0
I,85.0,0,14180.0,14180.0
I,86.0,95,11251.0,16803.0
I,86.0,87,11806.0,16093.0
I,86.0,75,12274.0,15529.0
I,86.0,62,12632.0,15116.0
I,86.0,50,12904.0,14812.0
I,86.0,37,13166.0,14529.0
I,86.0,25,13390.0,14291.0
I,86.0,12,13623.0,14050.0
I,86.0,0,13836.0,13836.0
I,87.0,95,10928.0,16326.0
I,87.0,87,11468.0,15635.0
I,87.0,75,11922.0,15087.0
I,87.0,62,12270.0,14685.0
I,87.0,50,12535.0,14390.0
I,87.0,37,12789.0,14114.0
I,87.0,25,13007.0,13883.0
I,87.0,12,13234.0,13649.0
I,87.0,0,13440.0,13440.0
I,88.0,95,10570.0,15797.0
I,88.0,87,11093.0,15129.0
I,88.0,75,11533.0,14598.0
I,88.0,62,11870.0,14209.0
I,88.0,50,12126.0,13923.0
I,88.0,37,12373.0,13655.0
I,88.0,25,12584.0,13432.0
I,88.0,12,12803.0,13205.0
I,88.0,0,13003.0,13003.0
I,89.0,95,10185.0,15229.0
I,89.0,87,10690.0,14584.0
I,89.0,75,11114.0,14071.0
I,89.0,62,11439.0,13696.0
I,89.0,50,11686.0,13420.0
I,89.0,37,11924.0,13162.0
I,89.0,25,12128.0,12946.0
I,89.0,12,12340.0,12727.0
I,89.0,0,12533.0,12533.0
I,90.0,95,9779.0,14631.0
I,90.0,87,10265.0,14010.0
I,90.0,75,10673.0,13517.0
I,90.0,62,10985.0,13156.0
I,90.0,50,11223.0,12890.0
I,90.0,37,11452.0,12642.0
I,90.0,25,11647.0,12435.0
I,90.0,12,11851.0,12224.0
I,90.0,0,12037.0,12037.0
I,91.0,95,9359.0,14013.0
I,91.0,87,9824.0,13417.0
I,91.0,75,10216.0,12944.0
I,91.0,62,10515.0,12597.0
